temp;RH;transport;eggs;larvae;larvaepergram;hatchrate
27;60;0;2;5273;2637;1,4
27;60;0;2;3345;1673;0,89
27;60;0;2;2679;1339;0,71
27;60;1;2;5066;2533;1,35
27;60;1;2;2888;1444;0,77
27;60;1;2;2732;1366;0,73
27;60;2;2;5591;2796;1,48
27;60;2;2;2955;1478;0,78
27;60;2;2;4908;2454;1,3
27;60;3;2;6301;3151;1,67
27;60;3;2;4638;2319;1,23
27;60;3;2;4002;2001;1,06
27;60;6;2;4076;2038;1,08
27;60;6;2;4450;2225;1,18
27;60;6;2;4516;2258;1,2
10;60;0;2;1272;636;1
10;60;0;2;1396;698;1,1
10;60;0;2;1152;576;0,9
10;60;1;2;1230;615;0,97
10;60;1;2;1234;617;0,97
10;60;1;2;1146;573;0,9
10;60;2;2;1002;501;0,79
10;60;2;2;1095;548;0,86
10;60;2;2;758;379;0,59
10;60;3;2;924;462;0,73
10;60;3;2;849;424;0,67
10;60;3;2;537;269;0,42
10;60;6;2;579;290;0,45
10;60;6;2;449;225;0,35
10;60;6;2;443;221;0,35
15;60;0;2;1164;582;0,99
15;60;0;2;1106;553;0,95
15;60;0;2;1242;621;1,06
15;60;1;2;1573;786;1,34
15;60;1;2;1485;743;1,27
15;60;1;2;1516;758;1,29
15;60;2;2;1756;878;1,5
15;60;2;2;1659;830;1,42
15;60;2;2;1358;679;1,16
15;60;3;2;1323;662;1,13
15;60;3;2;1160;580;0,99
15;60;3;2;1480;740;1,26
15;60;6;2;1433;717;1,22
15;60;6;2;1340;670;1,14
15;60;6;2;1557;778;1,33
5;60;0;2;726;363;0,89
5;60;0;2;870;435;1,06
5;60;0;2;863;432;1,05
5;60;1;2;672;336;0,82
5;60;1;2;832;416;1,02
5;60;1;2;662;331;0,81
5;60;2;2;600;300;0,73
5;60;2;2;579;289;0,71
5;60;2;2;615;307;0,75
5;60;3;2;188;94;0,23
5;60;3;2;310;155;0,38
5;60;3;2;343;172;0,42
5;60;6;2;119;60;0,15
5;60;6;2;407;204;0,5
5;60;6;2;45;23;0,06
35;60;0;2;531;266;0,89
35;60;0;2;692;346;1,15
35;60;0;2;576;288;0,96
35;60;1;2;324;162;0,54
35;60;1;2;240;120;0,4
35;60;1;2;411;205;0,68
35;60;2;2;244;122;0,41
35;60;2;2;196;98;0,33
35;60;2;2;345;172;0,57
35;60;3;2;275;138;0,46
35;60;3;2;312;156;0,52
35;60;3;2;263;132;0,44
40;60;0;2;1804;902;1
40;60;1;2;;0;0
40;60;1;2;;0;0
40;60;1;2;;0;0
40;60;2;2;;0;0
40;60;2;2;;0;0
40;60;2;2;;0;0
40;60;3;2;;0;0
40;60;3;2;;0;0
40;60;3;2;;0;0
40;60;6;2;;0;0
40;60;6;2;;0;0
40;60;6;2;;0;0
40;40;0;2;1804;902;1
40;40;1;2;;0;0
40;40;1;2;;0;0
40;40;1;2;;0;0
40;40;2;2;;0;0
40;40;2;2;;0;0
40;40;2;2;;0;0
40;40;3;2;;0;0
40;40;3;2;;0;0
40;40;3;2;;0;0
40;40;6;2;;0;0
40;40;6;2;;0;0
40;40;6;2;;0;0
35;40;1;2,017;962;477;1,1
35;40;1;2,049;983;480;1,12
35;40;1;2,009;913;455;1,04
35;40;2;2,011;1047;521;1,2
35;40;2;2;1003;502;1,15
35;40;2;2,013;972;483;1,11
35;40;3;2,015;829;411;0,95
35;40;3;2,071;1037;501;1,18
35;40;3;2,006;907;452;1,04
35;40;0;2,004;725;362;0,83
35;40;0;2,056;968;471;1,11
35;40;0;2,032;935;460;1,07
35;40;6;;;;0
35;40;6;;;;0
35;40;6;;;;0
10;40;0;2,041;683;335;0,95
10;40;0;2,036;770;378;1,07
10;40;0;2,023;698;345;0,97
10;40;1;2,012;620;308;0,86
10;40;1;2,05;633;309;0,88
10;40;1;2,054;802;391;1,12
10;40;2;2,03;838;413;1,17
10;40;2;2,082;923;443;1,29
10;40;2;2,08;682;328;0,95
10;40;3;2,053;671;327;0,93
10;40;3;2,099;767;365;1,07
10;40;3;2,024;802;396;1,12
10;40;6;2,009;204;102;0,28
10;40;6;2,072;150;73;0,21
10;40;6;2;209;104;0,29
15;40;0;2,079;767;369;1,02
15;40;0;2,027;728;359;0,97
15;40;0;2,031;766;377;1,02
15;40;1;2,027;645;318;0,86
15;40;1;2,007;589;293;0,78
15;40;1;2,02;694;344;0,92
15;40;3;2,025;767;379;1,02
15;40;3;2,012;767;381;1,02
15;40;3;2,008;640;319;0,85
15;40;6;2,071;814;393;1,08
15;40;6;2,018;974;483;1,29
15;40;6;2,066;869;421;1,15
30;80;0;2,009;1052;523;1,15
30;80;0;2,016;745;369;0,82
30;80;0;2,023;941;465;1,03
30;80;1;2,002;853;426;0,94
30;80;1;2;1006;503;1,1
30;80;1;2,033;768;378;0,84
30;80;2;2,011;1122;558;1,23
30;80;2;2,004;689;344;0,76
30;80;2;2,003;803;401;0,88
30;80;3;2,016;683;339;0,75
